grafana          | ✔ Downloaded and extracted grafana-opensearch-datasource v2.24.0 zip successfully to /var/lib/grafana/plugins/grafana-opensearch-datasource
grafana          | 
grafana          | Please restart Grafana after installing or removing plugins. Refer to Grafana documentation for instructions if necessary.
grafana          | 
grafana          | logger=settings t=2025-04-11T12:35:47.576481877Z level=info msg="Starting Grafana" version=11.5.2 commit=598e0338d5374d6bc404b02a58094132c5eeceb8 branch=HEAD compiled=2025-04-11T12:35:47Z
grafana          | logger=settings t=2025-04-11T12:35:47.577868919Z level=info msg="Config loaded from" file=/usr/share/grafana/conf/defaults.ini
grafana          | logger=settings t=2025-04-11T12:35:47.577901086Z level=info msg="Config loaded from" file=/etc/grafana/grafana.ini
grafana          | logger=settings t=2025-04-11T12:35:47.577908211Z level=info msg="Config overridden from command line" arg="default.paths.data=/var/lib/grafana"
grafana          | logger=settings t=2025-04-11T12:35:47.577912211Z level=info msg="Config overridden from command line" arg="default.paths.logs=/var/log/grafana"
grafana          | logger=settings t=2025-04-11T12:35:47.577917002Z level=info msg="Config overridden from command line" arg="default.paths.plugins=/var/lib/grafana/plugins"
grafana          | logger=settings t=2025-04-11T12:35:47.577919336Z level=info msg="Config overridden from command line" arg="default.paths.provisioning=/etc/grafana/provisioning"
grafana          | logger=settings t=2025-04-11T12:35:47.577925211Z level=info msg="Config overridden from command line" arg="default.log.mode=console"
grafana          | logger=settings t=2025-04-11T12:35:47.577928336Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_DATA=/var/lib/grafana"
grafana          | logger=settings t=2025-04-11T12:35:47.577934294Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_LOGS=/var/log/grafana"
grafana          | logger=settings t=2025-04-11T12:35:47.577938419Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PLUGINS=/var/lib/grafana/plugins"
grafana          | logger=settings t=2025-04-11T12:35:47.577942544Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PROVISIONING=/etc/grafana/provisioning"
grafana          | logger=settings t=2025-04-11T12:35:47.577951794Z level=info msg=Target target=[all]
kafka            | ===> User
kafka            | uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
kafka            | ===> Setting default values of environment variables if not already set.
kafka            | ===> Configuring ...
kafka            | Running in KRaft mode...
kafka            | ===> Launching ... 
kafka            | ===> Using provided cluster id ckjPoprWQzOf0-FuNkGfFQ ...
kafka            | [0.002s][warning][cds] The shared archive file has a bad magic number: 0
kafka            | [otel.javaagent 2025-04-11 12:35:53:277 +0000] [main] INFO io.opentelemetry.javaagent.tooling.VersionLogger - opentelemetry-javaagent - version: 2.13.3
kafka            | [otel.javaagent 2025-04-11 12:35:54:289 +0000] [main] INFO io.opentelemetry.javaagent.shaded.instrumentation.jmx.yaml.RuleParser - kafka-broker: found 20 metric rules
kafka            | [2025-04-11 12:35:54,733] INFO Registered kafka:type=kafka.Log4jController MBean (kafka.utils.Log4jControllerRegistration$)
kafka            | [2025-04-11 12:35:55,183] INFO Setting -D jdk.tls.rejectClientInitiatedRenegotiation=true to disable client-initiated TLS renegotiation (org.apache.zookeeper.common.X509Util)
kafka            | [2025-04-11 12:35:55,360] INFO Registered signal handlers for TERM, INT, HUP (org.apache.kafka.common.utils.LoggingSignalHandler)
kafka            | [2025-04-11 12:35:55,370] INFO [ControllerServer id=1] Starting controller (kafka.server.ControllerServer)
kafka            | [2025-04-11 12:35:55,777] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka            | [2025-04-11 12:35:55,835] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Created data-plane acceptor and processors for endpoint : ListenerName(CONTROLLER) (kafka.network.SocketServer)
kafka            | [2025-04-11 12:35:55,846] INFO authorizerStart completed for endpoint CONTROLLER. Endpoint is now READY. (org.apache.kafka.server.network.EndpointReadyFutures)
kafka            | [2025-04-11 12:35:55,846] INFO [SharedServer id=1] Starting SharedServer (kafka.server.SharedServer)
kafka            | [2025-04-11 12:35:55,970] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 0 with message format version 2 (kafka.log.UnifiedLog$)
kafka            | [2025-04-11 12:35:55,972] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Reloading from producer snapshot and rebuilding producer state from offset 0 (kafka.log.UnifiedLog$)
kafka            | [2025-04-11 12:35:55,972] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 0 (kafka.log.UnifiedLog$)
kafka            | [2025-04-11 12:35:56,018] INFO Initialized snapshots with IDs SortedSet() from /tmp/kafka-logs/__cluster_metadata-0 (kafka.raft.KafkaMetadataLog$)
kafka            | [2025-04-11 12:35:56,057] INFO [raft-expiration-reaper]: Starting (kafka.raft.TimingWheelExpirationService$ExpiredOperationReaper)
kafka            | [2025-04-11 12:35:56,217] INFO [RaftManager id=1] Completed transition to Unattached(epoch=0, voters=[1], electionTimeoutMs=1799) from null (org.apache.kafka.raft.QuorumState)
kafka            | [2025-04-11 12:35:56,221] INFO [RaftManager id=1] Completed transition to CandidateState(localId=1, epoch=1, retries=1, voteStates={1=GRANTED}, highWatermark=Optional.empty, electionTimeoutMs=1971) from Unattached(epoch=0, voters=[1], electionTimeoutMs=1799) (org.apache.kafka.raft.QuorumState)
kafka            | [2025-04-11 12:35:56,226] INFO [RaftManager id=1] Completed transition to Leader(localId=1, epoch=1, epochStartOffset=0, highWatermark=Optional.empty, voterStates={1=ReplicaState(nodeId=1, endOffset=Optional.empty, lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)}) from CandidateState(localId=1, epoch=1, retries=1, voteStates={1=GRANTED}, highWatermark=Optional.empty, electionTimeoutMs=1971) (org.apache.kafka.raft.QuorumState)
kafka            | [2025-04-11 12:35:56,252] INFO [kafka-1-raft-io-thread]: Starting (kafka.raft.KafkaRaftManager$RaftIoThread)
kafka            | [2025-04-11 12:35:56,252] INFO [kafka-1-raft-outbound-request-thread]: Starting (org.apache.kafka.raft.KafkaNetworkChannel$SendThread)
kafka            | [2025-04-11 12:35:56,286] INFO [RaftManager id=1] High watermark set to LogOffsetMetadata(offset=1, metadata=Optional[(segmentBaseOffset=0,relativePositionInSegment=91)]) for the first time for epoch 1 based on indexOfHw 0 and voters [ReplicaState(nodeId=1, endOffset=Optional[LogOffsetMetadata(offset=1, metadata=Optional[(segmentBaseOffset=0,relativePositionInSegment=91)])], lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)] (org.apache.kafka.raft.LeaderState)
kafka            | [2025-04-11 12:35:56,286] INFO [MetadataLoader id=1] initializeNewPublishers: The loader is still catching up because we have loaded up to offset -1, but the high water mark is 1 (org.apache.kafka.image.loader.MetadataLoader)
kafka            | [2025-04-11 12:35:56,296] INFO [ControllerServer id=1] Waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka            | [2025-04-11 12:35:56,296] INFO [ControllerServer id=1] Finished waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka            | [2025-04-11 12:35:56,298] INFO [RaftManager id=1] Registered the listener org.apache.kafka.image.loader.MetadataLoader@1179166129 (org.apache.kafka.raft.KafkaRaftClient)
kafka            | [2025-04-11 12:35:56,318] INFO [MetadataLoader id=1] maybePublishMetadata(LOG_DELTA): The loader is still catching up because we have not loaded a controller record as of offset 0 and high water mark is 1 (org.apache.kafka.image.loader.MetadataLoader)
kafka            | [2025-04-11 12:35:56,355] INFO [RaftManager id=1] Registered the listener org.apache.kafka.controller.QuorumController$QuorumMetaLogListener@203246830 (org.apache.kafka.raft.KafkaRaftClient)
kafka            | [2025-04-11 12:35:56,364] INFO [controller-1-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka            | [2025-04-11 12:35:56,366] INFO [controller-1-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka            | [2025-04-11 12:35:56,367] INFO [controller-1-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka            | [2025-04-11 12:35:56,370] INFO [controller-1-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka            | [2025-04-11 12:35:56,389] INFO [MetadataLoader id=1] initializeNewPublishers: The loader finished catching up to the current high water mark of 1 (org.apache.kafka.image.loader.MetadataLoader)
kafka            | [2025-04-11 12:35:56,400] INFO [ExpirationReaper-1-AlterAcls]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka            | [2025-04-11 12:35:56,401] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing SnapshotGenerator with a snapshot at offset 0 (org.apache.kafka.image.loader.MetadataLoader)
kafka            | [2025-04-11 12:35:56,421] INFO [ControllerServer id=1] Waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
kafka            | [2025-04-11 12:35:56,421] INFO [ControllerServer id=1] Finished waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
kafka            | [2025-04-11 12:35:56,421] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing KRaftMetadataCachePublisher with a snapshot at offset 4 (org.apache.kafka.image.loader.MetadataLoader)
kafka            | [2025-04-11 12:35:56,422] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing FeaturesPublisher with a snapshot at offset 4 (org.apache.kafka.image.loader.MetadataLoader)
kafka            | [2025-04-11 12:35:56,422] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Enabling request processing. (kafka.network.SocketServer)
